model,date,accuracy,run_ts
m_dt_baseline,2026-05-15,0.2916666666666667,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-16,0.5833333333333334,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-17,0.5833333333333334,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-04,0.5416666666666666,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-05,0.8333333333333334,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-06,0.8333333333333334,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-07,0.9583333333333334,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-08,0.7083333333333334,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-09,0.6666666666666666,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-10,0.7916666666666666,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-11,0.4166666666666667,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-12,0.8333333333333334,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-13,0.75,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-14,0.6666666666666666,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-15,0.2916666666666667,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-16,0.75,2026-05-18T17:10:49.253820+03:00
m_weather_lr,2026-05-17,0.5833333333333334,2026-05-18T17:10:49.253820+03:00
